batch,conc,docs,tokens,docs_s,toks_s,p50_s,p95_s,errors,dur
32,128,15397,6427094,174.18844147644225,72710.62460755947,21.911809318999076,25.292025775498587,0,88.39277663599933
32,192,20000,8279451,185.6964661678502,76873.23962549366,31.68500780999966,35.709117442100066,0,107.70264191200113
32,256,20000,8261857,178.247487357077,73632.76255767391,42.93786336899939,47.27233804080097,0,112.20354517499982
32,384,20000,8297856,188.04283204543353,78017.61710725965,59.12795138399997,60.854861804399846,201,106.35874700699969
