batch,conc,docs,tokens,docs_s,toks_s,p50_s,p95_s,errors,dur
8,16,6168,2568544,246.45464231619383,102631.2569379711,0.3933519864999653,0.6031360247504836,0,25.026917496999886
8,32,11848,4912009,558.2585320426907,231445.89244771146,0.4045521120006015,0.5806305782999513,0,21.223141823999867
8,64,20000,8263639,274.6900338994011,113496.96385212065,0.4264754929999981,0.6458239479998156,1,72.80933973499941
16,16,6880,2834689,125.08158969830907,51535.96023551018,0.7276827460000277,1.0526956210001117,0,55.00409785800002
16,32,11472,4757473,500.7855810575986,207677.2908534551,0.8111533709998184,1.4583118521001777,0,22.90800780600057
16,64,20000,8292312,738.0204765875677,305994.8027126403,0.8342670150004778,1.4308953650999683,0,27.0995190980002
32,16,7648,3149282,314.2879846993863,129417.03622254872,1.4296974979993138,2.0886782761003815,0,24.334369662000427
32,32,15392,6407658,473.63257917400693,197172.27033556125,1.4471192849996442,1.8077363570002487,1,32.49776446299984
32,64,20000,8286581,273.5014845446498,113319.61026497446,1.4907198095002059,2.034991520999938,2,73.12574567299998
